"","-0.2","-0.19","-0.18","-0.17","-0.16","-0.15","-0.14","-0.13","-0.12","-0.11","-0.1","-0.09","-0.08","-0.07","-0.06","-0.05","-0.04","-0.03","-0.02","-0.01","0","0.00999999999999998","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09","0.1","0.11","0.12","0.13","0.14","0.15","0.16","0.17","0.18","0.19","0.2"
"1",1.87463041943473e-25,1.62359019463201e-25,3.35463682948396e-26,1.87614640470135e-27,4.45048183332935e-19,2.49909252828522e-19,1.55043239988124e-20,9.24878297063791e-20,1.13511313646121e-18,6.54372421143079e-16,9.78745198072106e-19,5.41580599928392e-10,2.16422152477065e-08,3.76065842900047e-10,2.86982672690425e-08,6.18735397393981e-08,0.000409869172092592,3.5241718691224e-05,0.234232158615039,0.13369246882461,0.600503608766717,0.256944214786064,0.0757800783079355,0.00321195728590886,0.00114888796109823,1.56144698151039e-05,1.19590409971783e-08,1.66151300059286e-07,1.61564362004859e-13,5.7986306885475e-13,3.74974933555668e-16,6.70282694033913e-14,8.86829781544211e-17,5.47846100367233e-23,9.74509574813998e-21,8.26787801457509e-17,9.20637587239385e-34,4.77923419028342e-23,1.9978759901325e-31,5.3445748352781e-28,2.90756158288224e-31
"2",6.58332832694684e-23,3.21934701404371e-23,6.85372357494567e-28,6.42077257813955e-26,1.7425798719001e-21,2.08230081874823e-24,8.19461096820585e-23,5.98847244835234e-17,1.03523416839428e-15,1.06813288634682e-16,1.37535993344918e-11,8.15176577080784e-11,1.90031818476927e-09,5.84014413661362e-07,1.03454253684855e-08,9.09180974640796e-06,1.74431033358243e-06,0.00416851983730129,0.230648541383609,0.854321718648829,0.189778450165921,0.823847730928531,0.014100846282898,0.0443507233698412,5.57083468164881e-05,2.89939915332282e-08,2.94994018989907e-09,6.20087779942975e-08,3.11680393219785e-14,2.08842798921739e-13,2.67159803214485e-13,3.10990394542785e-14,8.10326384846592e-21,2.50753424804518e-17,3.34343495853144e-21,6.89027246681928e-27,1.17682388355107e-25,4.72188770782494e-24,1.19427589111852e-38,2.20594095791127e-27,1.09157620559929e-31
"3",1.5211474016497e-24,2.65784572853139e-26,1.05637765257231e-22,1.04132570375445e-27,1.24675987230472e-21,6.24764229416168e-20,2.23043050482532e-18,1.08367368661054e-15,1.30267811694213e-14,1.15790370777867e-14,1.54358070509711e-12,6.59414038039924e-13,2.11655473907602e-10,2.17460354780231e-07,4.09638681642991e-08,8.08979730296564e-07,0.00193065315229524,0.077734672658579,0.0619888859021705,0.00356700599424766,0.946100885375166,0.0367648502070697,0.000979206100184176,0.00126909101799983,0.000969254270766376,4.30541380273482e-07,6.02614638823089e-09,1.71433322233428e-10,4.12411750085436e-11,1.78124634315089e-11,1.74463474952487e-16,4.02915033449297e-20,3.59020972349554e-18,4.28096028108291e-26,4.87922312691481e-24,1.60337975829553e-22,3.00091000333803e-25,1.80760439932975e-26,5.70585561792199e-28,2.82452824734429e-35,2.12181514188865e-34
"4",6.49337043779771e-26,1.15912188755064e-23,3.56346016411325e-20,2.16717395558045e-23,4.66008490904545e-18,7.40720085730516e-22,1.61243421575367e-19,2.04168165135727e-20,1.65919187228175e-15,9.96175757862136e-20,2.19071823336324e-13,7.98938661791591e-15,4.41516229187962e-09,1.17822404387385e-07,9.9280034146292e-10,0.000210998137060763,5.8553430585233e-06,0.0975963705995194,0.0350047438408158,0.0861154376007467,0.204054645571243,0.0653317839589458,0.403276443498534,0.0012021346766858,1.91477535377236e-07,1.3950042735886e-07,4.17066744979288e-07,9.96892197411653e-07,2.29102599090083e-12,1.24972895339546e-17,4.96440088542697e-19,2.98904005514519e-13,3.035627447515e-21,1.36450629717538e-19,3.64025014049058e-18,7.72169511639753e-31,4.4972552817947e-25,2.19675159672868e-28,3.0137602027602e-30,4.4313866348017e-31,2.16614333705987e-28
"5",1.44433040914393e-26,4.6669123788173e-22,4.88736622603288e-23,3.11787767857292e-22,1.12353412588289e-18,1.55987106643517e-22,3.11945643190426e-24,8.69032012133189e-22,1.63203476939076e-18,5.48055405164285e-17,1.40201663645928e-16,9.49614342245316e-11,2.34397883088809e-10,7.41486729078604e-11,1.27987953940166e-07,0.000516564206991368,0.0122108213677412,1.18611727827604e-06,0.138892206529946,0.671861885152048,0.518947151695838,0.273702583584195,0.0582545888062937,0.0139817023685356,3.43937176713461e-05,0.000430261389267659,4.73108562296854e-07,2.21085001378201e-13,1.46258357581254e-10,7.61236546369639e-14,6.79625042996885e-14,3.55255073602092e-22,1.62051416271941e-22,8.83521436259658e-23,1.34192642686798e-19,1.66171860906667e-23,7.98841287311643e-28,1.75936016150142e-21,8.16203254275554e-27,2.41593971813988e-29,9.30149450322385e-36
"6",8.90983441036575e-24,4.79945475750293e-28,8.11171476149478e-24,9.27973762453758e-29,1.8063015447345e-19,6.69092397441379e-20,2.28095471428526e-20,7.92772316952493e-20,2.09745921136492e-22,4.7689326041273e-17,3.38613465509704e-11,2.11090619108366e-12,5.79119789458621e-11,3.49502637954316e-11,0.00511495580204219,0.000391809264652694,0.00277924842895314,0.00350545600818216,0.0160702380684798,0.20394810862475,0.447844928420392,0.290632328166978,0.0420112350085627,0.00855397126613664,7.76166914265559e-05,2.11105640260018e-05,5.754081212894e-07,1.42052303809274e-05,3.05747288716872e-15,2.5420578931686e-16,4.31900082321875e-15,3.15241103650926e-15,4.28027477679639e-21,6.2850470682543e-20,5.05691590971379e-25,2.11218160183258e-22,2.31895153103222e-31,3.15654829439752e-32,1.29063298541492e-26,3.9216195475857e-33,4.183331892873e-31
"7",3.8757007803739e-24,1.66420278154583e-33,5.43843590673248e-30,5.60531767041278e-25,6.09230898791144e-20,2.59287300965862e-22,2.81859607248707e-22,2.81768902031582e-19,2.30177094062048e-19,1.31333827152747e-13,2.09828723774103e-14,3.52521537371934e-11,9.56136509208883e-15,3.70590488407058e-05,1.29615880258297e-06,1.03220549251982e-06,0.015438824961772,0.0128517383792412,0.000613376183385794,0.779782608540369,0.505125325189615,0.298847260614377,0.119035835333864,0.0247952830309543,5.57726618310505e-07,2.95243202766784e-06,1.0591337568576e-07,4.9041964446325e-07,2.43271320000207e-11,1.15126158896827e-13,6.12408128188021e-16,7.93704064709065e-13,1.86845644891201e-19,2.11120538370305e-22,1.4067923413867e-25,2.60371070384643e-26,1.99236657194478e-28,5.71077401252237e-28,1.09197636194098e-34,1.91743894793902e-30,3.01219360249242e-30
"8",6.60025353632825e-26,6.66320565209136e-30,1.87797629761749e-24,3.17621447311471e-26,1.00168310810572e-24,1.16671673340519e-23,7.13117132383318e-19,3.40103444361602e-16,4.14852646271544e-15,1.9620097804228e-13,9.19286071408562e-10,5.90086244248596e-09,1.56822054532005e-06,1.30641659558769e-06,1.33679126509097e-05,3.00192567681834e-05,0.0334819698427278,4.3672340314976e-06,0.00455427605149429,0.42134192001702,0.428709486117993,0.888422645127458,0.712414309656592,0.427927308205649,1.79686822284633e-06,7.35848520928782e-07,4.26083470464753e-12,1.14347645194012e-09,4.20358868492812e-09,5.53256842674336e-12,1.72958082768593e-12,2.4029816849016e-19,2.79895392311161e-17,4.30373246539404e-21,8.26407532062374e-17,1.78591634857095e-20,5.73198364643931e-22,1.579173726891e-27,2.58350195460289e-30,1.52871778729453e-28,8.79421029150807e-38
"9",7.28506155611713e-30,1.27382373075041e-26,1.75881257850119e-16,8.15622214221601e-24,8.34423871483971e-26,3.78543518791739e-19,6.76858256054994e-22,4.95820747337832e-18,3.52233966151149e-18,6.56225797110875e-09,5.06450109221857e-13,4.10596126946101e-13,7.40819417613522e-10,1.3253409079019e-10,2.01362330730702e-05,1.15741353388478e-11,0.000511214534566033,0.00621730493063404,0.305430151286841,0.057144574557203,0.668761897234757,0.16794811118003,0.976939258945056,0.000362635705146261,0.000114594513882852,4.81227758177955e-06,4.62157998299278e-10,1.23584311412083e-13,3.56798891656154e-10,3.16521079933892e-12,2.91627820087788e-15,1.48046688073873e-18,3.25754541921121e-22,1.0960894124984e-18,2.70903165588499e-20,5.51569695690191e-25,3.39334184503958e-25,9.33555816987942e-31,3.30919851506655e-27,3.12435255511094e-32,2.83021621531989e-28
