"analyte","parameter","NRM","Estimate","Std..Error","t.value","Pr...t..","fdr_pval","sig_t_or_f","scenario","parameter_groups"
"CHL_QAQC","SEAS_C2","burdekin",-0.0440445681967695,0.106139521284612,-0.414968596651801,0.680627610633655,1,0,"Pre-2015-S2","Seasonal"
"CHL_QAQC","(Intercept)","burdekin",-0.982118172741697,0.191286544481602,-5.13427735026159,1.06886881194486e-05,6.41321287166914e-05,1,"Pre-2015-S3","Intercept"
"CHL_QAQC","SHORT_NAMEBUR2","burdekin",-0.054549919111004,0.203896593987844,-0.26753717678215,0.790625901208194,1,0,"Pre-2015-S3","Sites"
"CHL_QAQC","SHORT_NAMEBUR4","burdekin",0.327246652355997,0.203851903669768,1.60531565545801,0.117410815043994,0.469643260175976,0,"Pre-2015-S3","Sites"
"CHL_QAQC","Date_2","burdekin",2.38577377909262e-05,0.000175634065460228,0.135837758628486,0.892727824675688,1,0,"Pre-2015-S3","Trend"
"CHL_QAQC","SEAS_C1","burdekin",0.291171051861011,0.130648480672729,2.22866006831252,0.0323564950060651,0.161782475030326,0,"Pre-2015-S3","Seasonal"
"CHL_QAQC","SEAS_C2","burdekin",0.08153243342593,0.112419006189962,0.725254885176258,0.473117175720156,1,0,"Pre-2015-S3","Seasonal"
"CHL_QAQC","(Intercept)","burdekin",-1.1387831067244,0.0997992311888025,-11.4107402748426,4.92029857440699e-24,4.92029857440699e-23,1,"Post-2015","Intercept"
"CHL_QAQC","PROJECTMMP-JCU","burdekin",-0.0422525236169556,0.0731896212585809,-0.577302121398828,0.564320377481484,0.564320377481484,0,"Post-2015","Intercept"
"CHL_QAQC","SHORT_NAMEBUR10","burdekin",-0.487046105440862,0.107533690213968,-4.52924199357194,9.662385306889e-06,6.7636697148223e-05,1,"Post-2015","Sites"
"CHL_QAQC","SHORT_NAMEBUR13","burdekin",0.599437737098393,0.109056889641509,5.49655999789524,1.05919228915123e-07,9.5327306023611e-07,1,"Post-2015","Sites"
"CHL_QAQC","SHORT_NAMEBUR2","burdekin",0.136702863604931,0.111536120646582,1.22563760342798,0.221633714840217,0.443267429680434,0,"Post-2015","Sites"
"CHL_QAQC","SHORT_NAMEBUR4","burdekin",0.44244661524659,0.10900346260564,4.05901431633691,6.83006832375125e-05,0.000409804099425075,1,"Post-2015","Sites"
"CHL_QAQC","SHORT_NAMEBUR7","burdekin",0.273806021608269,0.109800634437082,2.49366520523309,0.0133728612719936,0.0534914450879744,0,"Post-2015","Sites"
"CHL_QAQC","Date_2","burdekin",0.000152175426274965,6.82777128529682e-05,2.22877158469946,0.0268313347693888,0.0804940043081665,0,"Post-2015","Trend"
"CHL_QAQC","SEAS_C1","burdekin",0.16521944020268,0.0457153143206134,3.61409393456103,0.000372874710908415,0.00186437355454208,1,"Post-2015","Seasonal"
"CHL_QAQC","SEAS_C2","burdekin",0.223215262445845,0.0479178992711713,4.65828564776288,5.49275797914848e-06,4.39420638331879e-05,1,"Post-2015","Seasonal"
"SS_QAQC","(Intercept)","burdekin",-0.111326610464491,0.274525950419501,-0.405523085502022,0.686312492607783,1,0,"Pre-2015","Intercept"
"SS_QAQC","SHORT_NAMEBUR2","burdekin",0.458013620987902,0.255785264078844,1.7906176989411,0.0776174622300916,0.310469848920366,0,"Pre-2015","Sites"
"SS_QAQC","SHORT_NAMEBUR4","burdekin",1.10272378436306,0.255788720109933,4.31107276305667,5.14274049770325e-05,0.000308564429862195,1,"Pre-2015","Sites"
"SS_QAQC","Date_2","burdekin",-0.000215445885139978,0.000111966800809982,-1.92419434672971,0.058338698524872,0.29169349262436,0,"Pre-2015","Trend"
"SS_QAQC","SEAS_C1","burdekin",0.0764765314183139,0.170882572416291,0.447538507507996,0.655848768965163,1,0,"Pre-2015","Seasonal"
"SS_QAQC","SEAS_C2","burdekin",-0.058910674431752,0.135680476386641,-0.434186818919161,0.665469405891892,1,0,"Pre-2015","Seasonal"
"SS_QAQC","(Intercept)","burdekin",0.608771568022787,0.443356794527665,1.37309628618943,0.181449469851455,0.36289893970291,0,"Pre-2015-S1","Intercept"
"SS_QAQC","SHORT_NAMEBUR2","burdekin",0.73743524601581,0.406367213793757,1.81470163188431,0.0811245662672242,0.324498265068897,0,"Pre-2015-S1","Sites"
"SS_QAQC","SHORT_NAMEBUR4","burdekin",1.16541789814004,0.406323453060927,2.86820238743463,0.00808478799703606,0.0404239399851803,1,"Pre-2015-S1","Sites"
